date,state,disease,value
2025-01-18T00:00:00.000,NA,COVID-19,1.0
2025-01-18T00:00:00.000,NA,Influenza,1.0
2025-01-18T00:00:00.000,NA,value,1.0
2025-01-25T00:00:00.000,NA,COVID-19,NA
2025-01-25T00:00:00.000,NA,Influenza,NA
2025-01-25T00:00:00.000,NA,value,NA
2025-02-01T00:00:00.000,NA,COVID-19,NA
2025-02-01T00:00:00.000,NA,Influenza,NA
2025-02-01T00:00:00.000,NA,value,NA
2025-02-08T00:00:00.000,NA,COVID-19,NA
2025-02-08T00:00:00.000,NA,Influenza,NA
2025-02-08T00:00:00.000,NA,value,NA
2025-02-15T00:00:00.000,NA,COVID-19,NA
2025-02-15T00:00:00.000,NA,Influenza,NA
2025-02-15T00:00:00.000,NA,value,NA
2025-02-22T00:00:00.000,NA,COVID-19,NA
2025-02-22T00:00:00.000,NA,Influenza,NA
2025-02-22T00:00:00.000,NA,value,NA
2025-03-01T00:00:00.000,NA,COVID-19,NA
2025-03-01T00:00:00.000,NA,Influenza,NA
2025-03-01T00:00:00.000,NA,value,NA
2025-03-08T00:00:00.000,NA,COVID-19,NA
2025-03-08T00:00:00.000,NA,Influenza,NA
2025-03-08T00:00:00.000,NA,value,NA
2025-03-15T00:00:00.000,NA,COVID-19,4.0
2025-03-15T00:00:00.000,NA,Influenza,4.0
2025-03-15T00:00:00.000,NA,value,4.0
2025-03-22T00:00:00.000,NA,COVID-19,1.0
2025-03-22T00:00:00.000,NA,Influenza,3.0
2025-03-22T00:00:00.000,NA,value,1.0
2025-03-29T00:00:00.000,NA,COVID-19,2.0
2025-03-29T00:00:00.000,NA,Influenza,5.0
2025-03-29T00:00:00.000,NA,value,2.0
2025-04-05T00:00:00.000,NA,COVID-19,NA
2025-04-05T00:00:00.000,NA,Influenza,NA
2025-04-05T00:00:00.000,NA,value,NA
2025-04-12T00:00:00.000,NA,COVID-19,NA
2025-04-12T00:00:00.000,NA,Influenza,NA
2025-04-12T00:00:00.000,NA,value,NA
2025-04-19T00:00:00.000,NA,COVID-19,NA
2025-04-19T00:00:00.000,NA,Influenza,NA
2025-04-19T00:00:00.000,NA,value,NA
2025-04-26T00:00:00.000,NA,COVID-19,0.0
2025-04-26T00:00:00.000,NA,Influenza,1.0
2025-04-26T00:00:00.000,NA,value,0.0
2025-05-03T00:00:00.000,NA,COVID-19,0.0
2025-05-03T00:00:00.000,NA,Influenza,0.0
2025-05-03T00:00:00.000,NA,value,0.0
2025-05-10T00:00:00.000,NA,COVID-19,0.0
2025-05-10T00:00:00.000,NA,Influenza,0.0
2025-05-10T00:00:00.000,NA,value,0.0
2025-05-17T00:00:00.000,NA,COVID-19,NA
2025-05-17T00:00:00.000,NA,Influenza,NA
2025-05-17T00:00:00.000,NA,value,NA
2025-05-24T00:00:00.000,NA,COVID-19,NA
2025-05-24T00:00:00.000,NA,Influenza,NA
2025-05-24T00:00:00.000,NA,value,NA
2025-05-31T00:00:00.000,NA,COVID-19,0.0
2025-05-31T00:00:00.000,NA,Influenza,1.0
2025-05-31T00:00:00.000,NA,value,0.0
2025-06-07T00:00:00.000,NA,COVID-19,0.0
2025-06-07T00:00:00.000,NA,Influenza,0.0
2025-06-07T00:00:00.000,NA,value,0.0
2025-06-14T00:00:00.000,NA,COVID-19,0.0
2025-06-14T00:00:00.000,NA,Influenza,2.0
2025-06-14T00:00:00.000,NA,value,0.0
2025-06-21T00:00:00.000,NA,COVID-19,0.0
2025-06-21T00:00:00.000,NA,Influenza,0.0
2025-06-21T00:00:00.000,NA,value,0.0
2025-06-28T00:00:00.000,NA,COVID-19,0.0
2025-06-28T00:00:00.000,NA,Influenza,1.0
2025-06-28T00:00:00.000,NA,value,0.0
2025-07-05T00:00:00.000,NA,COVID-19,0.0
2025-07-05T00:00:00.000,NA,Influenza,0.0
2025-07-05T00:00:00.000,NA,value,0.0
2025-07-12T00:00:00.000,NA,COVID-19,0.0
2025-07-12T00:00:00.000,NA,Influenza,0.0
2025-07-12T00:00:00.000,NA,value,0.0
2025-07-19T00:00:00.000,NA,COVID-19,0.0
2025-07-19T00:00:00.000,NA,Influenza,1.0
2025-07-19T00:00:00.000,NA,value,0.0
2025-07-26T00:00:00.000,NA,COVID-19,1.0
2025-07-26T00:00:00.000,NA,Influenza,0.0
2025-07-26T00:00:00.000,NA,value,1.0
2025-08-02T00:00:00.000,NA,COVID-19,0.0
2025-08-02T00:00:00.000,NA,Influenza,0.0
2025-08-02T00:00:00.000,NA,value,0.0
2025-08-09T00:00:00.000,NA,COVID-19,0.0
2025-08-09T00:00:00.000,NA,Influenza,0.0
2025-08-09T00:00:00.000,NA,value,0.0
2025-08-16T00:00:00.000,NA,COVID-19,2.0
2025-08-16T00:00:00.000,NA,Influenza,0.0
2025-08-16T00:00:00.000,NA,value,2.0
2025-08-23T00:00:00.000,NA,COVID-19,2.0
2025-08-23T00:00:00.000,NA,Influenza,0.0
2025-08-23T00:00:00.000,NA,value,2.0
2025-08-30T00:00:00.000,NA,COVID-19,1.0
2025-08-30T00:00:00.000,NA,Influenza,0.0
2025-08-30T00:00:00.000,NA,value,1.0
2025-09-06T00:00:00.000,NA,COVID-19,0.0
2025-09-06T00:00:00.000,NA,Influenza,0.0
2025-09-06T00:00:00.000,NA,value,0.0
2025-09-13T00:00:00.000,NA,COVID-19,0.0
2025-09-13T00:00:00.000,NA,Influenza,0.0
2025-09-13T00:00:00.000,NA,value,0.0
2025-09-20T00:00:00.000,NA,COVID-19,0.0
2025-09-20T00:00:00.000,NA,Influenza,0.0
2025-09-20T00:00:00.000,NA,value,0.0
2025-09-27T00:00:00.000,NA,COVID-19,0.0
2025-09-27T00:00:00.000,NA,Influenza,0.0
2025-09-27T00:00:00.000,NA,value,0.0
2024-10-05T00:00:00.000,California,COVID-19,722.0
2024-10-05T00:00:00.000,California,Influenza,30.0
2024-10-05T00:00:00.000,California,value,722.0
2024-10-12T00:00:00.000,California,COVID-19,309.0
2024-10-12T00:00:00.000,California,Influenza,30.0
2024-10-12T00:00:00.000,California,value,309.0
2024-10-19T00:00:00.000,California,COVID-19,561.0
2024-10-19T00:00:00.000,California,Influenza,75.0
2024-10-19T00:00:00.000,California,value,561.0
2024-10-26T00:00:00.000,California,COVID-19,550.0
2024-10-26T00:00:00.000,California,Influenza,137.0
2024-10-26T00:00:00.000,California,value,550.0
2024-11-02T00:00:00.000,California,COVID-19,542.0
2024-11-02T00:00:00.000,California,Influenza,112.0
2024-11-02T00:00:00.000,California,value,542.0
2024-11-09T00:00:00.000,California,COVID-19,643.0
2024-11-09T00:00:00.000,California,Influenza,177.0
2024-11-09T00:00:00.000,California,value,643.0
2024-11-16T00:00:00.000,California,COVID-19,715.0
2024-11-16T00:00:00.000,California,Influenza,323.0
2024-11-16T00:00:00.000,California,value,715.0
2024-11-23T00:00:00.000,California,COVID-19,689.0
2024-11-23T00:00:00.000,California,Influenza,526.0
2024-11-23T00:00:00.000,California,value,689.0
2024-11-30T00:00:00.000,California,COVID-19,703.0
2024-11-30T00:00:00.000,California,Influenza,708.0
2024-11-30T00:00:00.000,California,value,703.0
2024-12-07T00:00:00.000,California,COVID-19,781.0
2024-12-07T00:00:00.000,California,Influenza,1127.0
2024-12-07T00:00:00.000,California,value,781.0
2024-12-14T00:00:00.000,California,COVID-19,763.0
2024-12-14T00:00:00.000,California,Influenza,1521.0
2024-12-14T00:00:00.000,California,value,763.0
2024-12-21T00:00:00.000,California,COVID-19,863.0
2024-12-21T00:00:00.000,California,Influenza,2564.0
2024-12-21T00:00:00.000,California,value,863.0
2024-12-28T00:00:00.000,California,COVID-19,976.0
2024-12-28T00:00:00.000,California,Influenza,3856.0
2024-12-28T00:00:00.000,California,value,976.0
2025-01-04T00:00:00.000,California,COVID-19,1067.0
2025-01-04T00:00:00.000,California,Influenza,4011.0
2025-01-04T00:00:00.000,California,value,1067.0
2025-01-11T00:00:00.000,California,COVID-19,977.0
2025-01-11T00:00:00.000,California,Influenza,3259.0
2025-01-11T00:00:00.000,California,value,977.0
2025-01-18T00:00:00.000,California,COVID-19,973.0
2025-01-18T00:00:00.000,California,Influenza,3659.0
2025-01-18T00:00:00.000,California,value,973.0
2025-01-25T00:00:00.000,California,COVID-19,952.0
2025-01-25T00:00:00.000,California,Influenza,4076.0
2025-01-25T00:00:00.000,California,value,952.0
2025-02-01T00:00:00.000,California,COVID-19,1028.0
2025-02-01T00:00:00.000,California,Influenza,4576.0
2025-02-01T00:00:00.000,California,value,1028.0
2025-02-08T00:00:00.000,California,COVID-19,942.0
2025-02-08T00:00:00.000,California,Influenza,3662.0
2025-02-08T00:00:00.000,California,value,942.0
2025-02-15T00:00:00.000,California,COVID-19,891.0
2025-02-15T00:00:00.000,California,Influenza,2785.0
2025-02-15T00:00:00.000,California,value,891.0
2025-02-22T00:00:00.000,California,COVID-19,737.0
2025-02-22T00:00:00.000,California,Influenza,2035.0
2025-02-22T00:00:00.000,California,value,737.0
2025-03-01T00:00:00.000,California,COVID-19,694.0
2025-03-01T00:00:00.000,California,Influenza,1466.0
2025-03-01T00:00:00.000,California,value,694.0
2025-03-08T00:00:00.000,California,COVID-19,636.0
2025-03-08T00:00:00.000,California,Influenza,1069.0
2025-03-08T00:00:00.000,California,value,636.0
2025-03-15T00:00:00.000,California,COVID-19,609.0
2025-03-15T00:00:00.000,California,Influenza,997.0
2025-03-15T00:00:00.000,California,value,609.0
2025-03-22T00:00:00.000,California,COVID-19,609.0
2025-03-22T00:00:00.000,California,Influenza,711.0
2025-03-22T00:00:00.000,California,value,609.0
2025-03-29T00:00:00.000,California,COVID-19,598.0
2025-03-29T00:00:00.000,California,Influenza,596.0
2025-03-29T00:00:00.000,California,value,598.0
2025-04-05T00:00:00.000,California,COVID-19,527.0
2025-04-05T00:00:00.000,California,Influenza,454.0
2025-04-05T00:00:00.000,California,value,527.0
2025-04-12T00:00:00.000,California,COVID-19,625.0
